iter	Logloss
0	0.6621137038
1	0.6330115874
2	0.6063692496
3	0.5828031636
4	0.5502286977
5	0.5233374957
6	0.5072405779
7	0.4876966684
8	0.4710939942
9	0.4584414112
10	0.4410468067
11	0.4314682167
12	0.4227684729
13	0.4149353287
14	0.4032260237
15	0.3967401216
16	0.3877180026
17	0.3823733708
18	0.3750241706
19	0.3657695905
20	0.3598655384
21	0.3522448827
22	0.3473114219
23	0.341950565
24	0.3361365122
25	0.3321724248
26	0.3271183734
27	0.3248300011
28	0.3227944717
29	0.3188910289
30	0.3171768793
31	0.3131720219
32	0.3110760011
33	0.3095915599
34	0.3079338787
35	0.3055007421
36	0.3009701416
37	0.298179917
38	0.2968160813
39	0.2939357646
40	0.2919326367
41	0.290646027
42	0.2891463801
43	0.2883373739
44	0.2862421979
45	0.284745054
46	0.2833609771
47	0.2825785496
48	0.2808010886
49	0.2787061518
50	0.2773669591
51	0.2757208763
52	0.2750006414
53	0.2743585955
54	0.2732033987
55	0.2714939362
56	0.2702872907
57	0.2698042665
58	0.2686294781
59	0.2681294454
60	0.2676490301
61	0.2670201001
62	0.2661492486
63	0.2649868478
64	0.2645171422
65	0.2640235014
66	0.2627919933
67	0.2613471096
68	0.2610267705
69	0.2607730465
70	0.2591951369
71	0.25880758
72	0.2585164951
73	0.2581054674
74	0.2577397699
75	0.2572780086
76	0.2564003703
77	0.2560598814
78	0.2557594483
79	0.2554029392
80	0.2545418942
81	0.2542373563
82	0.2539538893
83	0.2531315355
84	0.252281728
85	0.2520319866
86	0.2512643624
87	0.2510337951
88	0.2504138142
89	0.2501814291
90	0.2499118307
91	0.2496708142
92	0.2494935359
93	0.2491089182
94	0.2488966164
95	0.2486521105
96	0.2483935227
97	0.2481973571
98	0.248000241
99	0.2478255134
100	0.2476880837
101	0.2474636848
102	0.2472689136
103	0.2470531297
104	0.2468329996
105	0.2464106441
106	0.2461875591
107	0.2459908325
108	0.2457681958
109	0.2455920034
110	0.2454526792
111	0.2452571572
112	0.2450820708
