iter	Passed	Remaining
0	28	28180
1	40	20405
2	59	19700
3	71	17689
4	83	16644
5	95	15749
6	105	15004
7	117	14549
8	129	14265
9	140	13883
10	151	13665
11	164	13548
12	175	13321
13	188	13301
14	201	13202
15	212	13098
16	224	12971
17	236	12896
18	248	12831
19	261	12804
20	272	12688
21	285	12706
22	298	12679
23	310	12635
24	322	12562
25	339	12720
26	354	12770
27	371	12896
28	409	13713
29	435	14086
30	461	14419
31	487	14742
32	519	15228
33	540	15366
34	562	15498
35	612	16389
36	640	16666
37	676	17134
38	698	17219
39	718	17239
40	745	17428
41	767	17512
42	800	17814
43	825	17944
44	872	18516
45	915	18980
46	953	19336
47	997	19776
48	1031	20009
49	1070	20341
50	1111	20676
51	1142	20824
52	1178	21054
53	1227	21501
54	1349	23180
55	1425	24024
56	1441	23853
57	1457	23671
58	1474	23521
59	1502	23539
60	1532	23597
61	1558	23585
62	1591	23665
63	1618	23667
64	1651	23751
65	1673	23687
66	1700	23679
67	1728	23686
68	1775	23961
69	1810	24052
70	1842	24101
71	1874	24161
72	1901	24142
73	1930	24157
74	1954	24099
75	1982	24102
76	2009	24086
77	2035	24058
78	2060	24017
79	2080	23931
80	2094	23760
81	2106	23586
82	2119	23414
83	2132	23258
84	2144	23086
85	2163	22997
86	2175	22831
87	2187	22672
88	2200	22525
89	2213	22378
90	2224	22222
91	2237	22080
92	2249	21942
93	2265	21834
94	2290	21820
95	2318	21831
96	2349	21869
97	2381	21923
98	2407	21909
99	2433	21905
100	2455	21853
101	2481	21846
102	2504	21811
103	2530	21797
104	2553	21769
105	2578	21744
106	2601	21708
107	2615	21603
108	2627	21479
109	2640	21361
110	2650	21228
111	2665	21136
112	2682	21056
113	2706	21036
114	2719	20925
115	2734	20840
116	2750	20758
117	2766	20675
118	2780	20586
119	2796	20507
120	2812	20427
121	2825	20336
122	2839	20243
123	2849	20130
124	2862	20040
125	2876	19952
126	2890	19869
127	2904	19786
128	2920	19722
129	2936	19654
130	2948	19558
131	2959	19462
132	2970	19362
133	2979	19257
134	2991	19165
135	3007	19105
136	3019	19019
137	3029	18921
138	3040	18831
139	3052	18748
140	3062	18655
141	3072	18567
142	3084	18486
143	3094	18393
144	3105	18309
145	3116	18228
146	3126	18141
147	3137	18062
148	3150	17991
149	3159	17903
150	3170	17828
151	3182	17756
152	3192	17673
153	3203	17600
154	3215	17529
155	3225	17449
156	3236	17378
157	3250	17322
158	3273	17316
159	3355	17616
160	3400	17718
161	3447	17835
162	3479	17869
163	3506	17874
164	3527	17849
165	3538	17775
166	3549	17705
167	3562	17643
168	3574	17576
169	3586	17510
170	3599	17450
171	3612	17389
172	3624	17325
173	3635	17259
174	3649	17202
175	3660	17138
176	3673	17079
177	3684	17015
178	3697	16957
179	3710	16902
180	3724	16853
181	3739	16808
182	3755	16767
183	3772	16731
184	3784	16673
185	3798	16621
186	3814	16584
187	3834	16560
188	3847	16510
189	3862	16464
190	3876	16420
191	3890	16371
192	3903	16320
193	3914	16262
194	3926	16210
195	3940	16164
196	3953	16113
197	3964	16057
198	3977	16009
199	3990	15961
200	4003	15912
201	4014	15860
202	4026	15809
203	4039	15762
204	4051	15712
205	4063	15662
206	4075	15613
207	4088	15569
208	4102	15526
209	4117	15490
210	4130	15447
211	4142	15397
212	4155	15352
213	4167	15306
214	4180	15263
215	4191	15214
216	4205	15173
217	4218	15130
218	4236	15108
219	4248	15061
220	4261	15022
221	4274	14980
222	4286	14935
223	4300	14897
224	4315	14862
225	4329	14827
226	4343	14791
227	4355	14749
228	4369	14710
229	4383	14673
230	4395	14631
231	4408	14594
232	4419	14548
233	4432	14509
234	4444	14467
235	4457	14429
236	4469	14387
237	4481	14349
238	4493	14309
239	4506	14271
240	4520	14235
241	4532	14195
242	4543	14155
243	4556	14116
244	4567	14074
245	4580	14040
246	4593	14002
247	4606	13967
248	4617	13927
249	4630	13890
250	4643	13855
251	4655	13819
252	4669	13786
253	4686	13765
254	4698	13726
255	4710	13690
256	4722	13654
257	4735	13618
258	4746	13578
259	4758	13543
260	4771	13509
261	4782	13470
262	4793	13433
263	4809	13408
264	4828	13392
265	4855	13399
266	4875	13385
267	4895	13371
268	4921	13374
269	4994	13504
270	5017	13498
271	5039	13488
272	5054	13458
273	5072	13441
274	5098	13441
275	5119	13428
276	5137	13409
277	5152	13380
278	5171	13363
279	5190	13347
280	5219	13355
281	5247	13359
282	5271	13356
283	5291	13339
284	5316	13338
285	5335	13320
286	5353	13300
287	5372	13283
288	5396	13276
289	5416	13261
290	5435	13242
291	5451	13217
292	5469	13197
293	5487	13178
294	5519	13189
295	5537	13169
296	5552	13143
297	5571	13125
298	5595	13119
299	5615	13102
300	5635	13086
301	5672	13110
302	5709	13134
303	5745	13154
304	5786	13186
305	5933	13458
306	6048	13654
307	6118	13747
308	6227	13927
309	6248	13907
310	6271	13893
311	6291	13873
312	6309	13848
313	6327	13823
314	6344	13797
315	6361	13769
316	6377	13741
317	6400	13726
318	6417	13700
319	6437	13680
320	6456	13657
321	6473	13631
322	6491	13606
323	6514	13592
324	6532	13567
325	6555	13553
326	6577	13536
327	6615	13554
328	6646	13555
329	6670	13543
330	6695	13532
331	6715	13512
332	6739	13498
333	6756	13472
334	6773	13446
335	6798	13435
336	6818	13413
337	6836	13389
338	6855	13367
339	6873	13342
340	6890	13315
341	6908	13290
342	6929	13273
343	6955	13263
344	6988	13268
345	7025	13278
346	7061	13288
347	7095	13292
348	7131	13303
349	7158	13294
350	7200	13313
351	7223	13297
352	7241	13271
353	7257	13243
354	7274	13216
355	7292	13192
356	7319	13183
357	7349	13179
358	7370	13159
359	7391	13139
360	7412	13120
361	7432	13099
362	7448	13071
363	7464	13042
364	7480	13014
365	7498	12988
366	7514	12961
367	7531	12933
368	7550	12911
369	7567	12884
370	7587	12863
371	7612	12851
372	7633	12831
373	7657	12817
374	7688	12813
375	7717	12808
376	7747	12802
377	7771	12787
378	7800	12781
379	7831	12776
380	7858	12768
381	7889	12763
382	7917	12754
383	7945	12745
384	7971	12733
385	8012	12744
386	8037	12731
387	8061	12715
388	8084	12698
389	8101	12671
390	8117	12643
391	8133	12615
392	8149	12586
393	8167	12561
394	8184	12535
395	8200	12507
396	8216	12479
397	8232	12452
398	8248	12423
399	8263	12395
400	8279	12368
401	8296	12340
402	8313	12315
403	8330	12289
404	8346	12262
405	8362	12235
406	8379	12209
407	8406	12197
408	8432	12184
409	8460	12174
410	8493	12171
411	8519	12159
412	8549	12150
413	8576	12139
414	8605	12131
415	8653	12148
416	8681	12137
417	8706	12122
418	8725	12098
419	8744	12075
420	8764	12054
421	8785	12032
422	8809	12016
423	8826	11990
424	8845	11967
425	8866	11946
426	8885	11923
427	8906	11903
428	8924	11878
429	8943	11855
430	8959	11828
431	8976	11802
432	8992	11775
433	9008	11747
434	9023	11719
435	9038	11692
436	9054	11665
437	9070	11638
438	9086	11611
439	9103	11586
440	9121	11562
441	9142	11541
442	9162	11520
443	9183	11500
444	9202	11477
445	9245	11484
446	9278	11478
447	9303	11463
448	9329	11449
449	9364	11445
450	9396	11438
451	9430	11433
452	9463	11426
453	9496	11420
454	9516	11399
455	9544	11386
456	9584	11387
457	9619	11384
458	9643	11366
459	9662	11343
460	9681	11319
461	9696	11292
462	9713	11266
463	9729	11239
464	9745	11213
465	9763	11188
466	9778	11160
467	9791	11130
468	9805	11101
469	9816	11069
470	9829	11039
471	9841	11009
472	9854	10979
473	9866	10948
474	9878	10918
475	9891	10889
476	9906	10862
477	9921	10834
478	9941	10813
479	9981	10813
480	10006	10797
481	10037	10787
482	10061	10769
483	10095	10762
484	10127	10754
485	10161	10747
486	10187	10730
487	10206	10708
488	10223	10683
489	10241	10659
490	10257	10633
491	10270	10604
492	10285	10577
493	10298	10548
494	10310	10518
495	10324	10490
496	10337	10462
497	10350	10433
498	10363	10405
499	10374	10374
500	10387	10345
501	10399	10316
502	10414	10290
503	10425	10260
504	10445	10238
505	10457	10209
506	10469	10180
507	10481	10151
508	10494	10123
509	10506	10094
510	10521	10068
511	10537	10043
512	10551	10016
513	10566	9991
514	10580	9964
515	10594	9937
516	10611	9914
517	10635	9895
518	10667	9886
519	10698	9875
520	10721	9857
521	10753	9847
522	10781	9833
523	10800	9810
524	10818	9788
525	10835	9764
526	10861	9748
527	10878	9724
528	10894	9700
529	10910	9675
530	10926	9650
531	10944	9627
532	10963	9605
533	10992	9592
534	11017	9575
535	11048	9564
536	11081	9554
537	11114	9544
538	11146	9533
539	11178	9522
540	11207	9508
541	11229	9488
542	11257	9474
543	11293	9466
544	11321	9452
545	11341	9430
546	11360	9408
547	11380	9387
548	11406	9370
549	11423	9346
550	11440	9322
551	11455	9297
552	11472	9273
553	11492	9251
554	11511	9230
555	11543	9218
556	11573	9204
557	11608	9195
558	11636	9179
559	11656	9158
560	11676	9136
561	11713	9129
562	11738	9111
563	11768	9097
564	11820	9100
565	11882	9111
566	11921	9103
567	11953	9091
568	11985	9078
569	12013	9063
570	12039	9045
571	12062	9025
572	12078	9001
573	12095	8976
574	12113	8953
575	12158	8949
576	12185	8933
577	12224	8925
578	12254	8910
579	12279	8892
580	12307	8875
581	12324	8851
582	12341	8827
583	12356	8802
584	12373	8777
585	12393	8755
586	12410	8731
587	12435	8713
588	12452	8689
589	12469	8665
590	12487	8642
591	12503	8617
592	12520	8593
593	12541	8572
594	12558	8547
595	12574	8523
596	12591	8499
597	12608	8475
598	12624	8451
599	12641	8427
600	12656	8402
601	12673	8378
602	12687	8353
603	12701	8327
604	12715	8301
605	12730	8277
606	12743	8250
607	12755	8223
608	12769	8198
609	12782	8172
610	12796	8147
611	12811	8122
612	12821	8094
613	12834	8068
614	12848	8043
615	12863	8018
616	12878	7994
617	12893	7969
618	12903	7942
619	12915	7915
620	12933	7893
621	12946	7867
622	12961	7843
623	12975	7818
624	12984	7790
625	12996	7764
626	13010	7739
627	13024	7714
628	13033	7687
629	13045	7661
630	13058	7636
631	13073	7612
632	13092	7591
633	13159	7596
634	13193	7583
635	13225	7569
636	13240	7545
637	13252	7519
638	13264	7493
639	13280	7470
640	13296	7447
641	13316	7425
642	13347	7410
643	13377	7394
644	13401	7376
645	13425	7356
646	13445	7335
647	13472	7318
648	13494	7298
649	13523	7281
650	13543	7260
651	13569	7242
652	13588	7220
653	13606	7198
654	13622	7175
655	13638	7151
656	13653	7128
657	13668	7104
658	13683	7080
659	13697	7056
660	13708	7030
661	13721	7005
662	13732	6980
663	13745	6955
664	13764	6933
665	13774	6908
666	13787	6883
667	13802	6859
668	13814	6835
669	13826	6810
670	13838	6785
671	13850	6760
672	13863	6735
673	13877	6712
674	13888	6687
675	13906	6665
676	13922	6642
677	13942	6621
678	13961	6600
679	13977	6577
680	13993	6555
681	14009	6532
682	14021	6507
683	14033	6483
684	14050	6461
685	14068	6439
686	14091	6419
687	14113	6400
688	14133	6379
689	14151	6358
690	14172	6337
691	14188	6315
692	14200	6290
693	14227	6273
694	14241	6249
695	14256	6226
696	14267	6202
697	14279	6178
698	14292	6154
699	14307	6131
700	14320	6108
701	14332	6084
702	14345	6060
703	14359	6037
704	14372	6013
705	14386	5990
706	14400	5967
707	14414	5944
708	14428	5921
709	14440	5898
710	14454	5875
711	14467	5851
712	14477	5827
713	14490	5804
714	14503	5781
715	14516	5758
716	14528	5734
717	14540	5710
718	14553	5687
719	14565	5664
720	14577	5640
721	14590	5617
722	14602	5594
723	14623	5574
724	14635	5551
725	14650	5529
726	14664	5506
727	14675	5483
728	14688	5460
729	14702	5437
730	14717	5415
731	14734	5394
732	14751	5373
733	14771	5353
734	14788	5331
735	14805	5310
736	14823	5289
737	14841	5268
738	14855	5246
739	14872	5225
740	14887	5203
741	14903	5181
742	14918	5160
743	14933	5138
744	14949	5116
745	14963	5094
746	14979	5073
747	14995	5051
748	15018	5032
749	15033	5011
750	15050	4990
751	15068	4969
752	15085	4948
753	15101	4926
754	15116	4905
755	15129	4883
756	15144	4861
757	15158	4839
758	15171	4817
759	15183	4794
760	15196	4772
761	15211	4750
762	15225	4729
763	15241	4708
764	15257	4686
765	15272	4665
766	15287	4644
767	15299	4621
768	15315	4600
769	15339	4582
770	15361	4562
771	15383	4543
772	15401	4522
773	15418	4501
774	15435	4481
775	15455	4461
776	15478	4442
777	15492	4420
778	15505	4398
779	15520	4377
780	15533	4355
781	15545	4333
782	15559	4312
783	15574	4290
784	15588	4269
785	15603	4248
786	15617	4226
787	15628	4204
788	15649	4184
789	15668	4164
790	15688	4145
791	15709	4125
792	15734	4107
793	15754	4087
794	15773	4067
795	15790	4046
796	15806	4026
797	15823	4005
798	15838	3984
799	15854	3963
800	15879	3945
801	15895	3924
802	15911	3903
803	15927	3882
804	15942	3861
805	15955	3840
806	15972	3819
807	15987	3799
808	16003	3778
809	16021	3758
810	16036	3737
811	16050	3716
812	16065	3695
813	16080	3674
814	16095	3653
815	16109	3632
816	16123	3611
817	16134	3589
818	16148	3568
819	16161	3547
820	16176	3526
821	16190	3506
822	16205	3485
823	16217	3463
824	16233	3443
825	16251	3423
826	16265	3402
827	16288	3383
828	16299	3362
829	16314	3341
830	16331	3321
831	16346	3300
832	16361	3280
833	16375	3259
834	16390	3238
835	16404	3218
836	16418	3197
837	16430	3176
838	16444	3155
839	16459	3135
840	16481	3115
841	16524	3100
842	16544	3081
843	16561	3061
844	16591	3043
845	16609	3023
846	16628	3003
847	16647	2983
848	16661	2963
849	16676	2942
850	16703	2924
851	16723	2904
852	16739	2884
853	16755	2864
854	16771	2844
855	16788	2824
856	16806	2804
857	16820	2783
858	16833	2763
859	16846	2742
860	16857	2721
861	16868	2700
862	16882	2679
863	16893	2659
864	16906	2638
865	16918	2617
866	16931	2597
867	16942	2576
868	16953	2555
869	16966	2535
870	16979	2514
871	16993	2494
872	17005	2473
873	17020	2453
874	17036	2433
875	17048	2413
876	17062	2393
877	17076	2372
878	17087	2352
879	17101	2332
880	17118	2312
881	17135	2292
882	17159	2273
883	17177	2254
884	17193	2234
885	17210	2214
886	17224	2194
887	17235	2173
888	17248	2153
889	17261	2133
890	17274	2113
891	17294	2093
892	17309	2074
893	17323	2054
894	17337	2033
895	17349	2013
896	17365	1993
897	17383	1974
898	17396	1954
899	17410	1934
900	17425	1914
901	17440	1894
902	17456	1875
903	17473	1855
904	17487	1835
905	17500	1815
906	17512	1795
907	17530	1776
908	17556	1757
909	17571	1737
910	17588	1718
911	17600	1698
912	17615	1678
913	17627	1658
914	17642	1638
915	17655	1619
916	17668	1599
917	17681	1579
918	17691	1559
919	17704	1539
920	17717	1519
921	17730	1499
922	17742	1480
923	17754	1460
924	17766	1440
925	17777	1420
926	17787	1400
927	17799	1380
928	17811	1361
929	17822	1341
930	17835	1321
931	17847	1302
932	17858	1282
933	17869	1262
934	17881	1243
935	17894	1223
936	17904	1203
937	17915	1184
938	17929	1164
939	17939	1145
940	17951	1125
941	17963	1106
942	17979	1086
943	17991	1067
944	18001	1047
945	18013	1028
946	18027	1008
947	18037	989
948	18051	970
949	18064	950
950	18078	931
951	18089	912
952	18100	892
953	18114	873
954	18126	854
955	18136	834
956	18153	815
957	18165	796
958	18177	777
959	18190	757
960	18201	738
961	18212	719
962	18224	700
963	18237	681
964	18252	661
965	18263	642
966	18275	623
967	18287	604
968	18299	585
969	18311	566
970	18324	547
971	18339	528
972	18359	509
973	18371	490
974	18384	471
975	18395	452
976	18407	433
977	18419	414
978	18431	395
979	18443	376
980	18459	357
981	18471	338
982	18483	319
983	18497	300
984	18509	281
985	18524	263
986	18537	244
987	18552	225
988	18566	206
989	18579	187
990	18591	168
991	18605	150
992	18618	131
993	18630	112
994	18644	93
995	18656	74
996	18670	56
997	18684	37
998	18698	18
999	18712	0
